pitch_pk,pitcher,player_name,pitch_type,pitch_name,game_year,description,game_date,inning,inning_topbot,outs_when_up,balls,strikes,release_speed,release_spin_rate,release_pos_x,release_pos_z,release_extension,pfx_x,pfx_z,ivb,hb,ivb_abs,hb_abs,spin,expected_movement,movement_total,movement_over_expected,movement_gap,movement_sep,movement_angle,is_good_outcome,nastiness_raw,Nastiness_plus
656986_776835_58_1,656986,"Sousa, Bennett",SL,Slider,2025,called_strike,2025-08-08 00:00:00,7,Bot,2,0,0,86.4,2245,1.11,6.36,6.5,-0.1,-0.03,-0.36,-1.2000000000000002,0.36,1.2000000000000002,2245,1.1225,1.2528367810692662,0.13033678106926616,0.13033678106926616,1.0080000000000002,-163.3007557660064,1,5.64981231054675,134.71967541496733
596295_776904_24_1,596295,"Gomber, Austin",SL,Slider,2025,swinging_strike,2025-08-02 00:00:00,4,Top,0,0,0,81.7,2203,2.3,6.49,6.9,-0.11,-0.02,-0.24,-1.32,0.24,1.32,2203,1.1015,1.3416407864998738,0.24014078649987392,0.24014078649987392,1.296,-169.69515353123398,1,5.649277419942107,134.71403993765335
669022_778555_28_1,669022,"Gore, MacKenzie",SL,Slider,2025,swinging_strike,2025-03-27 00:00:00,5,Top,2,0,0,85.7,2175,1.96,5.57,7.0,-0.11,-0.02,-0.24,-1.32,0.24,1.32,2175,1.0875000000000001,1.3416407864998738,0.2541407864998737,0.2541407864998737,1.296,-169.69515353123398,1,5.6468734582698055,134.68871238216764
671131_777398_73_1,671131,"Rutledge, Jackson",SL,Slider,2025,called_strike,2025-06-22 00:00:00,8,Bot,1,0,0,84.8,2058,-2.3,5.95,6.2,-0.01,-0.02,-0.24,-0.12,0.24,0.12,2058,1.029,0.2683281572999748,-0.7606718427000252,0.7606718427000252,0.144,-116.56505117707799,1,5.6465337230606245,134.6851330146344
650911_776297_16_5,650911,"Sánchez, Cristopher",SL,Slider,2025,swinging_strike,2025-09-16 00:00:00,2,Bot,1,2,2,87.5,2103,1.79,5.87,6.5,-0.01,-0.02,-0.24,-0.12,0.24,0.12,2103,1.0515,0.2683281572999748,-0.7831718427000254,0.7831718427000254,0.144,-116.56505117707799,1,5.6465317029322994,134.68511173105372
694462_776738_47_3,694462,"Waldrep, Hurston",SL,Slider,2025,called_strike,2025-08-15 00:00:00,6,Bot,2,2,0,88.2,2279,-1.03,6.03,6.6,-0.02,-0.03,-0.36,-0.24,0.36,0.24,2279,1.1395,0.4326661530556787,-0.7068338469443213,0.7068338469443213,0.144,-123.69006752597979,1,5.646063563445109,134.68017952727797
623474_778082_46_2,623474,"Herget, Jimmy",SI,Sinker,2025,swinging_strike,2025-05-02 00:00:00,6,Bot,1,0,1,91.1,2509,-2.76,4.46,4.9,-1.98,-0.35,-4.199999999999999,-23.759999999999998,4.199999999999999,23.759999999999998,2509,1.2545,24.128356761288156,22.873856761288156,22.873856761288156,23.471999999999998,-169.97551320405339,1,5.64087290063697,134.62549196640896
687888_777414_9_5,687888,"Walter, Brandon",ST,Sweeper,2025,swinging_strike,2025-06-21 00:00:00,1,Bot,2,2,2,78.9,2710,2.5,5.41,6.3,-1.99,-0.38,-4.5600000000000005,-23.88,4.5600000000000005,23.88,2710,1.355,24.311478770325756,22.956478770325756,22.956478770325756,23.184,-169.18924368152983,1,5.634927175083684,134.56284924810407
666142_777635_33_2,666142,"Ragans, Cole",SL,Slider,2025,swinging_strike,2025-06-05 00:00:00,3,Bot,2,0,1,83.5,2617,1.57,6.07,6.2,-0.03,-0.04,-0.48,-0.36,0.48,0.36,2617,1.3085,0.6,-0.7085,0.7085,0.144,-126.86989764584402,1,5.630542142328306,134.5166496095249
663460_778215_41_6,663460,"Bubic, Kris",SL,Slider,2025,called_strike,2025-04-22 00:00:00,7,Top,0,3,2,85.5,2366,2.11,5.71,6.7,-0.06,-0.05,-0.6000000000000001,-0.72,0.6000000000000001,0.72,2366,1.183,0.9372299611087985,-0.24577003889120153,0.24577003889120153,0.14399999999999985,-140.1944289077348,1,5.62829785459215,134.49300433979437
650911_776297_17_4,650911,"Sánchez, Cristopher",SL,Slider,2025,swinging_strike,2025-09-16 00:00:00,2,Bot,2,2,1,88.0,2144,1.67,5.89,6.6,-0.07,-0.05,-0.6000000000000001,-0.8400000000000001,0.6000000000000001,0.8400000000000001,2144,1.072,1.0322790320451154,-0.03972096795488467,0.03972096795488467,0.288,-144.46232220802563,1,5.628033189749047,134.49021589537944
668674_777297_68_4,668674,"Erceg, Lucas",SL,Slider,2025,swinging_strike_blocked,2025-06-30 00:00:00,8,Bot,2,0,2,86.3,1913,-1.67,5.99,6.4,-0.05,-0.05,-0.6000000000000001,-0.6000000000000001,0.6000000000000001,0.6000000000000001,1913,0.9565,0.8485281374238571,-0.10797186257614289,0.10797186257614289,0.0,-135.0,1,5.624888689527755,134.457086205856
622491_777774_26_1,622491,"Castillo, Luis",SL,Slider,2025,called_strike,2025-05-25 00:00:00,3,Bot,0,0,0,84.4,2332,-2.2,5.13,5.3,-0.05,-0.05,-0.6000000000000001,-0.6000000000000001,0.6000000000000001,0.6000000000000001,2332,1.166,0.8485281374238571,-0.3174718625761428,0.3174718625761428,0.0,-135.0,1,5.624869892086029,134.4568881605819
